contrast,outcome,metric,effect
qwen_low_minus_off,internet_ability,probability_prevalence_abs_error,0.03406350662480201
qwen_low_minus_off,internet_ability,hard_prevalence_abs_error,0.08217792530821122
qwen_low_minus_off,internet_3m,brier,-0.0012513735571181572
qwen_low_minus_off,internet_3m,log_loss,-0.08170588584750604
qwen_low_minus_off,internet_3m,hard_accuracy,-0.04209951389378508
qwen_low_minus_off,internet_3m,probability_prevalence_abs_error,0.03787666732986289
qwen_low_minus_off,internet_3m,hard_prevalence_abs_error,0.08217792530821122
qwen_low_minus_off,copy_paste,brier,-0.03253338527421151
qwen_low_minus_off,copy_paste,log_loss,-0.18906770256516392
qwen_low_minus_off,copy_paste,hard_accuracy,0.010018421652428056
qwen_low_minus_off,copy_paste,probability_prevalence_abs_error,-0.023551927874515488
qwen_low_minus_off,copy_paste,hard_prevalence_abs_error,0.008137429051734979
qwen_medium_minus_off,mobile_ability,brier,-0.0037670179283016136
qwen_medium_minus_off,mobile_ability,log_loss,-0.018692233294413108
qwen_medium_minus_off,mobile_ability,hard_accuracy,-0.011964248467465577
qwen_medium_minus_off,mobile_ability,probability_prevalence_abs_error,-0.00847105840684148
qwen_medium_minus_off,mobile_ability,hard_prevalence_abs_error,0.02395216626952512
qwen_medium_minus_off,mobile_3m,brier,-1.2719376977179953e-05
qwen_medium_minus_off,mobile_3m,log_loss,-0.007536425332172081
qwen_medium_minus_off,mobile_3m,hard_accuracy,-0.012982802748844224
qwen_medium_minus_off,mobile_3m,probability_prevalence_abs_error,0.017886746018956345
qwen_medium_minus_off,mobile_3m,hard_prevalence_abs_error,0.016950959588102
qwen_medium_minus_off,computer_ability,brier,-0.021408590774769032
qwen_medium_minus_off,computer_ability,log_loss,-0.0714310899837643
qwen_medium_minus_off,computer_ability,hard_accuracy,0.009938577404200233
qwen_medium_minus_off,computer_ability,probability_prevalence_abs_error,0.02549761528106309
qwen_medium_minus_off,computer_ability,hard_prevalence_abs_error,0.0040986448713195844
qwen_medium_minus_off,internet_ability,brier,-0.013040114592219376
qwen_medium_minus_off,internet_ability,log_loss,-0.0962163968062788
qwen_medium_minus_off,internet_ability,hard_accuracy,-0.04715667445656846
qwen_medium_minus_off,internet_ability,probability_prevalence_abs_error,0.024122787309949045
qwen_medium_minus_off,internet_ability,hard_prevalence_abs_error,0.08318561935520336
qwen_medium_minus_off,internet_3m,brier,-0.002546691653852906
qwen_medium_minus_off,internet_3m,log_loss,-0.09836600515733329
qwen_medium_minus_off,internet_3m,hard_accuracy,-0.04614838769398677
qwen_medium_minus_off,internet_3m,probability_prevalence_abs_error,0.03612920343466974
qwen_medium_minus_off,internet_3m,hard_prevalence_abs_error,0.08618814263193025
qwen_medium_minus_off,copy_paste,brier,-0.03830648598139197
qwen_medium_minus_off,copy_paste,log_loss,-0.2214528855193465
qwen_medium_minus_off,copy_paste,hard_accuracy,0.001995169309227718
qwen_medium_minus_off,copy_paste,probability_prevalence_abs_error,-0.0338122611112619
qwen_medium_minus_off,copy_paste,hard_prevalence_abs_error,0.008083222283526426
deepseek_thin_high_minus_off,mobile_ability,brier,0.005453627024778321
deepseek_thin_high_minus_off,mobile_ability,log_loss,0.042375482386811936
deepseek_thin_high_minus_off,mobile_ability,hard_accuracy,-0.014046380108562961
deepseek_thin_high_minus_off,mobile_ability,probability_prevalence_abs_error,-0.04255030321313913
deepseek_thin_high_minus_off,mobile_ability,hard_prevalence_abs_error,-0.049944888560222056
deepseek_thin_high_minus_off,mobile_3m,brier,0.007485449776903061
deepseek_thin_high_minus_off,mobile_3m,log_loss,0.07867373259794758
deepseek_thin_high_minus_off,mobile_3m,hard_accuracy,-0.011037173720733096
deepseek_thin_high_minus_off,mobile_3m,probability_prevalence_abs_error,-0.02806546468040172
deepseek_thin_high_minus_off,mobile_3m,hard_prevalence_abs_error,-0.04894749047412483
deepseek_thin_high_minus_off,computer_ability,brier,-0.05655474307716002
deepseek_thin_high_minus_off,computer_ability,log_loss,-0.6429457526006448
deepseek_thin_high_minus_off,computer_ability,hard_accuracy,0.056178600528310585
deepseek_thin_high_minus_off,computer_ability,probability_prevalence_abs_error,-0.09213941718282218
deepseek_thin_high_minus_off,computer_ability,hard_prevalence_abs_error,-0.08622532931533788
deepseek_thin_high_minus_off,internet_ability,brier,-0.060214307127784084
deepseek_thin_high_minus_off,internet_ability,log_loss,-0.2048796045677279
deepseek_thin_high_minus_off,internet_ability,hard_accuracy,0.10861707979930002
deepseek_thin_high_minus_off,internet_ability,probability_prevalence_abs_error,-0.15242701058972974
deepseek_thin_high_minus_off,internet_ability,hard_prevalence_abs_error,-0.25054852465065913
deepseek_thin_high_minus_off,internet_3m,brier,-0.05214472676615933
deepseek_thin_high_minus_off,internet_3m,log_loss,-0.18946581802864926
deepseek_thin_high_minus_off,internet_3m,hard_accuracy,0.11958933057814425
deepseek_thin_high_minus_off,internet_3m,probability_prevalence_abs_error,-0.13620913179406968
deepseek_thin_high_minus_off,internet_3m,hard_prevalence_abs_error,-0.2515476617353396
deepseek_thin_high_minus_off,copy_paste,brier,-0.05638937566778962
deepseek_thin_high_minus_off,copy_paste,log_loss,-0.17756874537842582
deepseek_thin_high_minus_off,copy_paste,hard_accuracy,0.049056216120775376
deepseek_thin_high_minus_off,copy_paste,probability_prevalence_abs_error,-0.01921978379759165
deepseek_thin_high_minus_off,copy_paste,hard_prevalence_abs_error,-0.0350951155902382
deepseek_rich_high_minus_off,mobile_ability,brier,0.023851477085994333
deepseek_rich_high_minus_off,mobile_ability,log_loss,0.5714086392946343
deepseek_rich_high_minus_off,mobile_ability,hard_accuracy,-0.025102218222415762
deepseek_rich_high_minus_off,mobile_ability,probability_prevalence_abs_error,-0.015871486237721943
deepseek_rich_high_minus_off,mobile_ability,hard_prevalence_abs_error,-0.1147416656213599
deepseek_rich_high_minus_off,mobile_3m,brier,0.024348657963199058
deepseek_rich_high_minus_off,mobile_3m,log_loss,0.5755211475910924
deepseek_rich_high_minus_off,mobile_3m,hard_accuracy,-0.01411241245212902
deepseek_rich_high_minus_off,mobile_3m,probability_prevalence_abs_error,0.034858353158437994
deepseek_rich_high_minus_off,mobile_3m,hard_prevalence_abs_error,-0.1339017714099151
deepseek_rich_high_minus_off,computer_ability,brier,-0.04825701286246864
deepseek_rich_high_minus_off,computer_ability,log_loss,0.03939027853487209
deepseek_rich_high_minus_off,computer_ability,hard_accuracy,0.05917349969565466
deepseek_rich_high_minus_off,computer_ability,probability_prevalence_abs_error,-0.09766087894085779
deepseek_rich_high_minus_off,computer_ability,hard_prevalence_abs_error,-0.07127936686984726
deepseek_rich_high_minus_off,internet_ability,brier,-0.04374861023154328
deepseek_rich_high_minus_off,internet_ability,log_loss,0.41822769860284414
deepseek_rich_high_minus_off,internet_ability,hard_accuracy,0.0956161965759903
deepseek_rich_high_minus_off,internet_ability,probability_prevalence_abs_error,-0.13217967460954527
deepseek_rich_high_minus_off,internet_ability,hard_prevalence_abs_error,-0.2938313420019212
deepseek_rich_high_minus_off,internet_3m,brier,-0.030217603030711887
deepseek_rich_high_minus_off,internet_3m,log_loss,0.45707217673955836
deepseek_rich_high_minus_off,internet_3m,hard_accuracy,0.10359417638831536
deepseek_rich_high_minus_off,internet_3m,probability_prevalence_abs_error,-0.10661529603749909
deepseek_rich_high_minus_off,internet_3m,hard_prevalence_abs_error,-0.3298067409290957
deepseek_rich_high_minus_off,copy_paste,brier,-0.033733707791005096
deepseek_rich_high_minus_off,copy_paste,log_loss,0.453984450153716
deepseek_rich_high_minus_off,copy_paste,hard_accuracy,0.04292615782132836
deepseek_rich_high_minus_off,copy_paste,probability_prevalence_abs_error,-0.028285740684739102
deepseek_rich_high_minus_off,copy_paste,hard_prevalence_abs_error,-0.05687875960174288
deepseek_persona_off_rich_minus_thin,mobile_ability,brier,-0.0007507814947262104
deepseek_persona_off_rich_minus_thin,mobile_ability,log_loss,-0.06843793194831138
deepseek_persona_off_rich_minus_thin,mobile_ability,hard_accuracy,-0.0010003745730241542
deepseek_persona_off_rich_minus_thin,mobile_ability,probability_prevalence_abs_error,-0.006035803164077702
deepseek_persona_off_rich_minus_thin,mobile_ability,hard_prevalence_abs_error,-0.003000449974575048
deepseek_persona_off_rich_minus_thin,mobile_3m,brier,-0.0016191792702641011
deepseek_persona_off_rich_minus_thin,mobile_3m,log_loss,-0.04698118491456904
deepseek_persona_off_rich_minus_thin,mobile_3m,hard_accuracy,0.0009980675065024425
deepseek_persona_off_rich_minus_thin,mobile_3m,probability_prevalence_abs_error,-0.00344193797851422
deepseek_persona_off_rich_minus_thin,mobile_3m,hard_prevalence_abs_error,-0.003000449974575048
deepseek_persona_off_rich_minus_thin,computer_ability,brier,-0.06958246030770085
deepseek_persona_off_rich_minus_thin,computer_ability,log_loss,-0.8533342433966935
deepseek_persona_off_rich_minus_thin,computer_ability,hard_accuracy,0.06512215451279857
deepseek_persona_off_rich_minus_thin,computer_ability,probability_prevalence_abs_error,-0.09333669414883386
deepseek_persona_off_rich_minus_thin,computer_ability,hard_prevalence_abs_error,-0.09309144003849551
deepseek_persona_off_rich_minus_thin,internet_ability,brier,-0.006424258655717829
deepseek_persona_off_rich_minus_thin,internet_ability,log_loss,-0.1886283878290549
deepseek_persona_off_rich_minus_thin,internet_ability,hard_accuracy,0.010939242038986219
deepseek_persona_off_rich_minus_thin,internet_ability,probability_prevalence_abs_error,-0.027510746886617365
deepseek_persona_off_rich_minus_thin,internet_ability,hard_prevalence_abs_error,-0.03099897744336999
deepseek_persona_off_rich_minus_thin,internet_3m,brier,-0.010018647787748886
deepseek_persona_off_rich_minus_thin,internet_3m,log_loss,-0.2111760457569215
deepseek_persona_off_rich_minus_thin,internet_3m,hard_accuracy,0.01793614775352881
deepseek_persona_off_rich_minus_thin,internet_3m,probability_prevalence_abs_error,-0.027563508624693256
deepseek_persona_off_rich_minus_thin,internet_3m,hard_prevalence_abs_error,-0.03199811452805046
deepseek_persona_off_rich_minus_thin,copy_paste,brier,-0.02579669337700219
deepseek_persona_off_rich_minus_thin,copy_paste,log_loss,-0.3312321833180305
deepseek_persona_off_rich_minus_thin,copy_paste,hard_accuracy,0.02826369992495037
deepseek_persona_off_rich_minus_thin,copy_paste,probability_prevalence_abs_error,0.07896165180332548
deepseek_persona_off_rich_minus_thin,copy_paste,hard_prevalence_abs_error,0.0960957397691411
deepseek_persona_high_rich_minus_thin,mobile_ability,brier,0.0176470685664898
deepseek_persona_high_rich_minus_thin,mobile_ability,log_loss,0.460595224959511
deepseek_persona_high_rich_minus_thin,mobile_ability,hard_accuracy,-0.012056212686876955
deepseek_persona_high_rich_minus_thin,mobile_ability,probability_prevalence_abs_error,0.020643013811339483
deepseek_persona_high_rich_minus_thin,mobile_ability,hard_prevalence_abs_error,-0.06779722703571289
deepseek_persona_high_rich_minus_thin,mobile_3m,brier,0.015244028916031896
deepseek_persona_high_rich_minus_thin,mobile_3m,log_loss,0.44986623007857574
deepseek_persona_high_rich_minus_thin,mobile_3m,hard_accuracy,-0.0020771712248934815
deepseek_persona_high_rich_minus_thin,mobile_3m,probability_prevalence_abs_error,0.05948187986032549
deepseek_persona_high_rich_minus_thin,mobile_3m,hard_prevalence_abs_error,-0.08795473091036532
deepseek_persona_high_rich_minus_thin,computer_ability,brier,-0.06128473009300947
deepseek_persona_high_rich_minus_thin,computer_ability,log_loss,-0.17099821226117662
deepseek_persona_high_rich_minus_thin,computer_ability,hard_accuracy,0.06811705368014265
deepseek_persona_high_rich_minus_thin,computer_ability,probability_prevalence_abs_error,-0.09885815590686947
deepseek_persona_high_rich_minus_thin,computer_ability,hard_prevalence_abs_error,-0.07814547759300489
deepseek_persona_high_rich_minus_thin,internet_ability,brier,0.010041438240522976
deepseek_persona_high_rich_minus_thin,internet_ability,log_loss,0.43447891534151717
deepseek_persona_high_rich_minus_thin,internet_ability,hard_accuracy,-0.002061641184323504
deepseek_persona_high_rich_minus_thin,internet_ability,probability_prevalence_abs_error,-0.007263410906432899
deepseek_persona_high_rich_minus_thin,internet_ability,hard_prevalence_abs_error,-0.07428179479463204
deepseek_persona_high_rich_minus_thin,internet_3m,brier,0.01190847594769856
deepseek_persona_high_rich_minus_thin,internet_3m,log_loss,0.4353619490112861
deepseek_persona_high_rich_minus_thin,internet_3m,hard_accuracy,0.001940993563699922
deepseek_persona_high_rich_minus_thin,internet_3m,probability_prevalence_abs_error,0.002030327131877341
deepseek_persona_high_rich_minus_thin,internet_3m,hard_prevalence_abs_error,-0.11025719372180653
deepseek_persona_high_rich_minus_thin,copy_paste,brier,-0.0031410255002176646
deepseek_persona_high_rich_minus_thin,copy_paste,log_loss,0.30032101221411134
deepseek_persona_high_rich_minus_thin,copy_paste,hard_accuracy,0.022133641625503353
deepseek_persona_high_rich_minus_thin,copy_paste,probability_prevalence_abs_error,0.06989569491617803
deepseek_persona_high_rich_minus_thin,copy_paste,hard_prevalence_abs_error,0.07431209575763642
